selector,color,darkmode,stylesheet,line
body,#212529,#C5C5C5,bootstrap.min.css,5
a,#007BFF,#1C374D,bootstrap.min.css,23
a:hover,#0056B3,#8EB3ED,bootstrap.min.css,24
caption,#6C757D,#3D4348,bootstrap.min.css,34
.blockquote-footer,#6C757D,#3D4348,bootstrap.min.css,78
.figure-caption,#6C757D,#3D4348,bootstrap.min.css,84
code,#E83E8C,#672f41,bootstrap.min.css,86
kbd,#FFFFFF,#1c1c1c,bootstrap.min.css,88
pre,#212529,#C5C5C5,bootstrap.min.css,90
.table .thead-dark th,#FFFFFF,#1c1c1c,bootstrap.min.css,185
.table .thead-light th,#495057,#bcbfc2,bootstrap.min.css,186
.table-dark,#FFFFFF,#1c1c1c,bootstrap.min.css,187
.form-control,#495057,#bcbfc2,bootstrap.min.css,198
.form-control:focus,#495057,#bcbfc2,bootstrap.min.css,199
.form-control::-webkit-input-placeholder,#6C757D,#3D4348,bootstrap.min.css,200
.form-control::placeholder,#6C757D,#3D4348,bootstrap.min.css,201
.form-check-input:disabled ~ .form-check-label,#6C757D,#3D4348,bootstrap.min.css,220
.valid-feedback,#28A745,#3EA07A,bootstrap.min.css,224
.valid-tooltip,#FFFFFF,#1c1c1c,bootstrap.min.css,225
".form-check-input.is-valid ~ .form-check-label, .was-validated .form-check-input:valid ~ .form-check-label",#28A745,#3EA07A,bootstrap.min.css,229
".custom-control-input.is-valid ~ .custom-control-label, .was-validated .custom-control-input:valid ~ .custom-control-label",#28A745,#3EA07A,bootstrap.min.css,231
.invalid-feedback,#DC3545,#7f1d27,bootstrap.min.css,240
.invalid-tooltip,#FFFFFF,#1c1c1c,bootstrap.min.css,241
".form-check-input.is-invalid ~ .form-check-label, .was-validated .form-check-input:invalid ~ .form-check-label",#DC3545,#7f1d27,bootstrap.min.css,245
".custom-control-input.is-invalid ~ .custom-control-label, .was-validated .custom-control-input:invalid ~ .custom-control-label",#DC3545,#7f1d27,bootstrap.min.css,247
.btn-primary,#FFFFFF,#1c1c1c,bootstrap.min.css,266
.btn-primary:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,267
".btn-primary.disabled, .btn-primary:disabled",#FFFFFF,#1c1c1c,bootstrap.min.css,269
".btn-primary:not(:disabled):not(.disabled).active, .btn-primary:not(:disabled):not(.disabled):active, .show > .btn-primary.dropdown-toggle",#FFFFFF,#1c1c1c,bootstrap.min.css,270
.btn-secondary,#FFFFFF,#1c1c1c,bootstrap.min.css,272
.btn-secondary:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,273
".btn-secondary.disabled, .btn-secondary:disabled",#FFFFFF,#1c1c1c,bootstrap.min.css,275
".btn-secondary:not(:disabled):not(.disabled).active, .btn-secondary:not(:disabled):not(.disabled):active, .show > .btn-secondary.dropdown-toggle",#FFFFFF,#1c1c1c,bootstrap.min.css,276
.btn-success,#FFFFFF,#1c1c1c,bootstrap.min.css,278
.btn-success:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,279
".btn-success.disabled, .btn-success:disabled",#FFFFFF,#1c1c1c,bootstrap.min.css,281
".btn-success:not(:disabled):not(.disabled).active, .btn-success:not(:disabled):not(.disabled):active, .show > .btn-success.dropdown-toggle",#FFFFFF,#1c1c1c,bootstrap.min.css,282
.btn-info,#FFFFFF,#1c1c1c,bootstrap.min.css,284
.btn-info:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,285
".btn-info.disabled, .btn-info:disabled",#FFFFFF,#1c1c1c,bootstrap.min.css,287
".btn-info:not(:disabled):not(.disabled).active, .btn-info:not(:disabled):not(.disabled):active, .show > .btn-info.dropdown-toggle",#FFFFFF,#1c1c1c,bootstrap.min.css,288
.btn-warning,#212529,#C5C5C5,bootstrap.min.css,290
.btn-warning:hover,#212529,#C5C5C5,bootstrap.min.css,291
".btn-warning.disabled, .btn-warning:disabled",#212529,#C5C5C5,bootstrap.min.css,293
".btn-warning:not(:disabled):not(.disabled).active, .btn-warning:not(:disabled):not(.disabled):active, .show > .btn-warning.dropdown-toggle",#212529,#C5C5C5,bootstrap.min.css,294
.btn-danger,#FFFFFF,#1c1c1c,bootstrap.min.css,296
.btn-danger:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,297
".btn-danger.disabled, .btn-danger:disabled",#FFFFFF,#1c1c1c,bootstrap.min.css,299
".btn-danger:not(:disabled):not(.disabled).active, .btn-danger:not(:disabled):not(.disabled):active, .show > .btn-danger.dropdown-toggle",#FFFFFF,#1c1c1c,bootstrap.min.css,300
.btn-light,#212529,#C5C5C5,bootstrap.min.css,302
.btn-light:hover,#212529,#C5C5C5,bootstrap.min.css,303
".btn-light.disabled, .btn-light:disabled",#212529,#C5C5C5,bootstrap.min.css,305
".btn-light:not(:disabled):not(.disabled).active, .btn-light:not(:disabled):not(.disabled):active, .show > .btn-light.dropdown-toggle",#212529,#C5C5C5,bootstrap.min.css,306
.btn-dark,#FFFFFF,#1c1c1c,bootstrap.min.css,308
.btn-dark:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,309
".btn-dark.disabled, .btn-dark:disabled",#FFFFFF,#1c1c1c,bootstrap.min.css,311
".btn-dark:not(:disabled):not(.disabled).active, .btn-dark:not(:disabled):not(.disabled):active, .show > .btn-dark.dropdown-toggle",#FFFFFF,#1c1c1c,bootstrap.min.css,312
.btn-outline-primary,#007BFF,#1C374D,bootstrap.min.css,314
.btn-outline-primary:hover,#FFFFFF,#1c1c1c,bootstrap.min.css,315
".btn-outline-primary.disabled, .btn-outline-primary:disabled",#007BFF,#1C374D,bootstrap.min.css,317
